Model,Refrigerant,Frequency / Rotation,HP,Power Supply,Application,Standard Condition,Tested Conditions,Capacity,Efficiency,Displacement,Motor Type,Starting Torque 
EMZ55CLC,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,EN12900,LBP,71,0.97,9.04 cm³,RSCR,LST
EMZ55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,181,1.78,9.04 cm³,RSCR,LST
EMZ55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,154,1.53,9.04 cm³,RSCR,LST
EMZ55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,93,1.33,9.04 cm³,RSCR,LST
EMZ60CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,198,1.82,9.5 cm³,RSCR,LST
EMZ60CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,168,1.56,9.5 cm³,RSCR,LST
EMZ60CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,106,1.41,9.5 cm³,RSCR,LST
EMZ66CLP,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,ASHRAE,LBP,191,1.74,10.61 cm³,RSCR,LST
EMZ66CLP,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,ARI 540,LBP,164,1.54,10.61 cm³,RSCR,LST
EMZ66CLP,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,EN12900,LBP,93,1.05,10.61 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ASHRAE,LBP,213,1.36,6.99 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,ASHRAE,LBP,190,1.61,6.36 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ARI 540,LBP,181,1.18,6.99 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,ARI 540,LBP,166,1.42,6.36 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,CECOMAF,LBP,158,1.05,6.99 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,EN12900,LBP,111,0.98,6.99 cm³,RSCR,LST
ERU280HSP,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,EN12900,LBP,97,1.20,6.36 cm³,RSCR,LST
ERUE70HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ASHRAE,LBP,182,1.39,5.96 cm³,RSIR/RSCR,LST
ERUE70HLP,R-134a,50 Hz,1/5,220 V 50 Hz,LBP,ASHRAE,LBP,167,1.44,5.96 cm³,RSCR,LST
ERUE70HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ARI 540,LBP,155,1.20,5.96 cm³,RSIR/RSCR,LST
ERUE70HLP,R-134a,50 Hz,1/5,220 V 50 Hz,LBP,ARI 540,LBP,147,1.30,5.96 cm³,RSCR,LST
ERUE70HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,CECOMAF,LBP,134,1.07,5.96 cm³,RSIR/RSCR,LST
ERUE70HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,EN12900,LBP,94,0.97,5.96 cm³,RSIR/RSCR,LST
ERUE70HLP,R-134a,50 Hz,1/5,220 V 50 Hz,LBP,EN12900,LBP,75,0.84,5.96 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ASHRAE,LBP,154,1.43,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,1/6,220-240 V 50 Hz,LBP,ASHRAE,LBP,149,1.38,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,ARI 540,LBP,132,1.25,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,1/6,220-240 V 50 Hz,LBP,ARI 540,LBP,129,1.21,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,CECOMAF,LBP,113,1.10,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,-,200-240 V 50 Hz 1~,LBP,EN12900,LBP,80,1.06,5.19 cm³,RSCR,LST
ERUS60HLP,R-134a,50 Hz,1/6,220-240 V 50 Hz,LBP,EN12900,LBP,73,0.95,5.19 cm³,RSCR,LST
ESC55CBT,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,165,1.79,7.87 cm³,RSCR,LST
ESC55CBT,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,137,1.49,7.87 cm³,RSCR,LST
ESC55CBT,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,EN12900,LBP,89,1.51,7.87 cm³,RSCR,LST
ESX55CBC,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,165,1.71,7.87 cm³,RSCR,LST
ESX55CBC,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,137,1.42,7.87 cm³,RSCR,LST
ESX55CBC,R-600a,60 Hz,1/5,115-127 V 60 Hz,LBP,EN12900,LBP,89,1.44,7.87 cm³,RSCR,LST
FF10BK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,ASHRAE,HBP,857,1.75,9.04 cm³,RSIR/CSIR,LST
FF10BK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,ARI 540,HBP,779,1.60,9.04 cm³,RSIR/CSIR,LST
FF10BK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,EN12900,HBP,774,1.68,9.04 cm³,RSIR/CSIR,LST
FF10BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,ASHRAE,LBP,268,1.01,9.04 cm³,CSIR,LST
FF10BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,ARI 540,LBP,242,0.91,9.04 cm³,CSIR,LST
FF10BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115 V 60 Hz,L/M/HBP,EN12900,LBP,153,0.77,9.04 cm³,CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,220 V 60 Hz,L/M/HBP,ASHRAE,HBP,935,1.96,9.04 cm³,RSIR/CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,115 V 60 Hz,L/M/HBP,ASHRAE,HBP,935,1.96,9.04 cm³,RSIR/CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,220 V 60 Hz,L/M/HBP,ARI 540,HBP,833,1.76,9.04 cm³,RSIR/CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,115 V 60 Hz,L/M/HBP,ARI 540,HBP,833,1.76,9.04 cm³,RSIR/CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,220 V 60 Hz,L/M/HBP,EN12900,HBP,827,1.89,9.04 cm³,RSIR/CSIR,LST
FF10HBK,R-134a,60 Hz,1/4,115 V 60 Hz,L/M/HBP,EN12900,HBP,827,1.89,9.04 cm³,RSIR/CSIR,LST
"FF7,5BK",Blend (R401A. R401B. R409A. R413A),60 Hz,1/5,115-127 V 60 Hz,L/M/HBP,ASHRAE,LBP,214,1.11,6.92 cm³,RSIR/CSIR,LST
"FF7,5BK",Blend (R401A. R401B. R409A. R413A),60 Hz,1/5,115-127 V 60 Hz,L/M/HBP,ARI 540,LBP,182,0.96,6.92 cm³,RSIR/CSIR,LST
"FF7,5BK",Blend (R401A. R401B. R409A. R413A),60 Hz,1/5,115-127 V 60 Hz,L/M/HBP,EN12900,LBP,98,0.70,6.92 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,ASHRAE,HBP,750,2.20,7.95 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,ARI 540,HBP,668,1.97,7.95 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,EN12900,HBP,662,2.13,7.95 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,ASHRAE,LBP,189,1.09,7.95 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,ARI 540,LBP,165,0.97,7.95 cm³,RSIR/CSIR,LST
"FF8,5HBK",R-134a,50 Hz,1/4,220-240 V 50 Hz,L/M/HBP,EN12900,LBP,86,0.66,7.95 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,301,1.45,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,ASHRAE,LBP,301,1.45,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,266,1.30,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,ARI 540,LBP,266,1.30,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,50 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,ASHRAE,LBP,248,1.31,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,50 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,ARI 540,LBP,218,1.18,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,141,0.91,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,60 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,EN12900,LBP,140,0.87,9.04 cm³,RSIR/CSIR,LST
FFI10HAK,R-134a,50 Hz,1/3,220-230 V 50 Hz / 220-230 V 60 Hz,L/MBP,EN12900,LBP,108,0.74,9.04 cm³,RSIR/CSIR,LST
FFI10HBX,R-134a,60 Hz,1/3,115 V 60 Hz,L/M/HBP,ASHRAE,HBP,1157,2.44,9.04 cm³,CSIR,HST
FFI10HBX,R-134a,60 Hz,1/3,115 V 60 Hz,L/M/HBP,ARI 540,HBP,1031,2.19,9.04 cm³,CSIR,HST
FFI10HBX,R-134a,60 Hz,1/3,115 V 60 Hz,L/M/HBP,EN12900,HBP,1023,2.36,9.04 cm³,CSIR,HST
FFI12BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,LBP,ASHRAE,LBP,413,1.21,11.14 cm³,CSIR,HST
FFI12BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,LBP,ARI 540,LBP,372,1.11,11.14 cm³,CSIR,HST
FFI12BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,LBP,CECOMAF,LBP,320,0.97,11.14 cm³,CSIR,HST
FFI12BX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,LBP,EN12900,LBP,268,0.95,11.14 cm³,CSIR,HST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,ASHRAE,HBP,1139,2.23,11.14 cm³,RSIR/CSIR,LST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,ARI 540,HBP,1015,2.00,11.14 cm³,RSIR/CSIR,LST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,EN12900,HBP,1010,2.18,11.14 cm³,RSIR/CSIR,LST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,ASHRAE,LBP,316,1.21,11.14 cm³,RSIR/CSIR,LST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,ARI 540,LBP,275,1.07,11.14 cm³,RSIR/CSIR,LST
FFI12HBK,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/M/HBP,EN12900,LBP,148,0.76,11.14 cm³,RSIR/CSIR,LST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,ASHRAE,HBP,1357,2.18,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,ARI 540,HBP,1209,1.96,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,EN12900,HBP,1189,2.09,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,220 V 60 Hz,L/M/HBP,ASHRAE,LBP,355,1.21,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,ASHRAE,LBP,343,1.14,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,220 V 60 Hz,L/M/HBP,ARI 540,LBP,308,1.06,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,ARI 540,LBP,296,1.01,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,220 V 60 Hz,L/M/HBP,EN12900,LBP,165,0.75,11.14 cm³,CSIR,HST
FFI12HBX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/M/HBP,EN12900,LBP,145,0.72,11.14 cm³,CSIR,HST
FFI6HAK,R-134a,60 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,195,1.24,6.23 cm³,RSIR/CSIR,LST
FFI6HAK,R-134a,60 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,172,1.11,6.23 cm³,RSIR/CSIR,LST
FFI6HAK,R-134a,50 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,165,1.14,6.23 cm³,RSIR/CSIR,LST
FFI6HAK,R-134a,50 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,149,1.05,6.23 cm³,RSIR/CSIR,LST
FFI6HAK,R-134a,60 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,88,0.77,6.23 cm³,RSIR/CSIR,LST
FFI6HAK,R-134a,50 Hz,1/5,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,79,0.66,6.23 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,224,1.34,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,115 V 60 Hz,L/MBP,ASHRAE,LBP,221,1.34,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,198,1.20,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,115 V 60 Hz,L/MBP,ARI 540,LBP,195,1.20,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,191,1.27,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,168,1.14,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,115 V 60 Hz,L/MBP,EN12900,LBP,104,0.84,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,99,0.78,6.76 cm³,RSIR/CSIR,LST
"FFI7,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,85,0.74,6.76 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,244,1.38,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,244,1.37,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,ARI 540,LBP,216,1.26,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,213,1.22,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,209,1.33,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,180,1.19,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,EN12900,LBP,116,0.89,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,111,0.82,7.15 cm³,RSIR/CSIR,LST
"FFI8,5HAK",R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,92,0.73,7.15 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,317,1.45,7.95 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,316,1.42,7.95 cm³,RSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,278,1.29,7.95 cm³,RSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,277,1.31,7.95 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,268,1.39,7.95 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,234,1.26,7.95 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,160,0.94,7.95 cm³,RSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,156,0.94,7.95 cm³,RSIR/CSIR,LST
FFU100AK,Blend (R401A. R401B. R409A. R413A),50 Hz,1/3,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,132,0.87,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,295,1.45,7.95 cm³,RSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,295,1.45,7.95 cm³,CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,295,1.50,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,256,1.28,7.95 cm³,RSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,256,1.28,7.95 cm³,CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,255,1.35,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,247,1.39,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,212,1.25,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,142,1.06,7.95 cm³,RSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,142,1.06,7.95 cm³,CSIR,LST
FFU100HAK,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,139,1.05,7.95 cm³,RSIR/CSIR,LST
FFU100HAK,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,117,0.83,7.95 cm³,RSIR/CSIR,LST
FFU130AX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,415,1.41,10.61 cm³,CSIR,HST
FFU130AX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,367,1.28,10.61 cm³,CSIR,HST
FFU130AX,Blend (R401A. R401B. R409A. R413A),60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,205,0.95,10.61 cm³,CSIR,HST
FFU130HAX,R-134a,60 Hz,1/3,220 V 60 Hz,L/MBP,ASHRAE,LBP,372,1.44,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,372,1.46,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,60 Hz,1/3,220 V 60 Hz,L/MBP,ARI 540,LBP,320,1.23,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,ARI 540,LBP,320,1.26,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/MBP,ASHRAE,LBP,309,1.38,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/MBP,ARI 540,LBP,270,1.25,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,60 Hz,1/3,220 V 60 Hz,L/MBP,EN12900,LBP,153,0.64,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,60 Hz,1/3,115-127 V 60 Hz,L/MBP,EN12900,LBP,153,0.68,10.61 cm³,CSIR,LST/HST
FFU130HAX,R-134a,50 Hz,1/3,220-240 V 50 Hz,L/MBP,EN12900,LBP,145,0.88,10.61 cm³,CSIR,LST/HST
FFU130UAX,R-290,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,394,1.56,6.76 cm³,CSIR,HST
FFU130UAX,R-290,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,331,1.36,6.76 cm³,CSIR,HST
FFU130UAX,R-290,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,316,1.46,6.76 cm³,CSIR,HST
FFU130UAX,R-290,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,268,1.28,6.76 cm³,CSIR,HST
FFU130UAX,R-290,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,234,1.27,6.76 cm³,CSIR,HST
FFU130UAX,R-290,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,EN12900,LBP,179,1.14,6.76 cm³,CSIR,HST
FFU160HAX,R-134a,60 Hz,1/2,220 V 60 Hz,L/MBP,ASHRAE,LBP,476,1.49,12.92 cm³,CSIR,LST/HST
FFU160HAX,R-134a,60 Hz,1/2,115 V 60 Hz,L/MBP,ASHRAE,LBP,447,1.37,12.92 cm³,CSIR,LST/HST
FFU160HAX,R-134a,60 Hz,1/2,220 V 60 Hz,L/MBP,ARI 540,LBP,397,1.26,12.92 cm³,CSIR,LST/HST
FFU160HAX,R-134a,60 Hz,1/2,115 V 60 Hz,L/MBP,ARI 540,LBP,376,1.18,12.92 cm³,CSIR,LST/HST
FFU160HAX,R-134a,60 Hz,1/2,220 V 60 Hz,L/MBP,EN12900,LBP,259,1.23,12.92 cm³,CSIR,LST/HST
FFU160HAX,R-134a,60 Hz,1/2,115 V 60 Hz,L/MBP,EN12900,LBP,249,1.27,12.92 cm³,CSIR,LST/HST
FFU160UAX,R-290,60 Hz,1/2,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,500,1.57,7.95 cm³,CSIR,HST
FFU160UAX,R-290,60 Hz,1/2,115-127 V 60 Hz,L/MBP,ARI 540,LBP,417,1.34,7.95 cm³,CSIR,HST
FFU160UAX,R-290,50 Hz,1/2,220-240 V 50 Hz,L/MBP,ASHRAE,LBP,401,1.48,7.95 cm³,CSIR,HST
FFU160UAX,R-290,50 Hz,1/2,220-240 V 50 Hz,L/MBP,ARI 540,LBP,339,1.28,7.95 cm³,CSIR,HST
FFU160UAX,R-290,60 Hz,1/2,115-127 V 60 Hz,L/MBP,EN12900,LBP,287,1.22,7.95 cm³,CSIR,HST
FFU160UAX,R-290,50 Hz,1/2,220-240 V 50 Hz,L/MBP,EN12900,LBP,232,1.13,7.95 cm³,CSIR,HST
FFU70AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,249,1.49,6.36 cm³,RSIR/CSIR,LST
FFU70AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,249,1.50,6.36 cm³,RSIR/CSIR,LST
FFU70AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,221,1.37,6.36 cm³,RSIR/CSIR,LST
FFU70AK,Blend (R401A. R401B. R409A. R413A),60 Hz,1/4,115-127 V 60 Hz,L/MBP,ARI 540,LBP,221,1.38,6.36 cm³,RSIR/CSIR,LST
FFU70AK,Blend (R401A. R401B. R409A. R413A),50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ASHRAE,LBP,208,1.45,6.36 cm³,RSIR/CSIR,LST
FFU70AK,Blend (R401A. R401B. R409A. R413A),50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,L/MBP,ARI 540,LBP,184,1.33,6.36 cm³,RSIR/CSIR,LST
