Model,Refrigerant,Frequency / Rotation,HP,Power Supply,Application,Standard Condition,Tested Conditions,Capacity,Efficiency,Displacement,Motor Type,Starting Torque
EGUS70HLP,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,75,0.89,5.56 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,238,1.63,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,238,1.61,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,210,1.46,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,210,1.45,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,193,1.51,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,170,1.36,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,113,0.98,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,113,0.97,6.36 cm³,RSIR,LST
EGUS80HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,91,0.90,6.36 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,277,1.63,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,277,1.65,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,240,1.46,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,240,1.47,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,224,1.54,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,194,1.38,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,130,1.04,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,130,1.06,7.15 cm³,RSIR,LST
EGUS90HLP,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,105,0.98,7.15 cm³,RSIR,LST
EGX100CLC,R-600a,50 Hz,1/3,220-240 V 50 Hz,LBP,ASHRAE,LBP,222,1.82,13.54 cm³,RSCR,LST
EGX100CLC,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,ARI 540,LBP,195,1.55,13.54 cm³,RSCR,LST
